trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.7480575296890003}",20,0,-29.740663312813652,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.3383192109710552}",20,0,13.929747561602227,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.15425144988758405}",30,24,9.615769806889482,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6090559761063562}",20,5,-45.9788727594065,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.9147423578045313}",25,0,-162.83733452511066,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9964679075571249}",25,0,-162.3932406126394,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",1
65,False,"{'a': 0.5, 'e': 0.8342233605065102}",20,0,-99.53185592605983,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.4677318402470736}",20,1,-50.04637166412361,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.013276747223059479}",20,12,16.08618687564629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.49103472393024045}",25,12,-67.29493829146318,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.8485702747846052}",20,5,-51.03858833718533,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.9983462274487422}",20,0,-29.913016493602317,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9036922050915067}",30,0,-182.68325177325735,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.587782813560387}",25,0,-15.962975342979767,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.12796368962740468}",25,0,-72.14187973669075,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
